gene	total	forward	reverse
001_CFTR_a_Nilmn_MixAMixB_ctrl M chr7:117307078-117307150	1729	0	1729
002_FLCN_1_Nilmn_MixAMixB_ctrl M chr17:17131259-17131319	751	0	751
003_GCH1_a_Nilmn_MixAMixB_ctrl M chr14:55332047-55332119	1470	0	1470
004_GPC3_1_Nilmn_MixAMixB_ctrl M chrX:132670260-132670326	1469	0	1469
005_IL1B_1_Nilmn_MixAMixB_ctrl M chr2:113590970-113591021	868	0	868
006_JAG1_a_Nilmn_MixAMixB_ctrl M chr20:10622384-10622447	1112	0	1112
007_OPTN_a_Nilmn_MixAMixB_ctrl M chr10:13142648-13142708	1162	0	1162
008_PANK2_1_Nilmn_MixAMixB_ctrl M chr20:3893229-3893286	1047	0	1047
009_BRCA1_up_a_Nilmn_MixB_ctrl M chr17:41277531-41277594	726	0	726
010_BRCA1_up_b_Nilmn_MixB_ctrl M chr17:41278182-41278242	695	0	695
011_BRCA1_ex1_a_Nilmn_MixA_ctrl M chr17:41277287-41277344	0	0	0
012_BRCA1_in1_a_Nilmn_MixA_ctrl M chr17:41277046-41277103	0	0	0
013_BRCA1_ex1_c_Nilmn_MixB_ctrl M chr17:41277397-41277459	1332	0	1332
014_BRCA1_ex2_a_Nilmn_MixA_ctrl M chr17:41276060-41276123	0	0	0
015_BRCA1_ex2_b_Nilmn_MixB_ctrl M chr17:41276019-41276094	1606	0	1606
016_BRCA1_ex3_a_Nilmn_MixA_ctrl M chr17:41267743-41267803	1493	1493	0
017_BRCA1_ex3_b_Nilmn_MixB_ctrl M chr17:41267716-41267791	1496	0	1496
018_BRCA1_ex4_a_Nilmn_MixA_ctrl M chr17:41258486-41258549	0	0	0
019_BRCA1_ex4_b_Nilmn_MixB_ctrl M chr17:41258432-41258517	1387	0	1387
020_BRCA1_ex5_a_Nilmn_MixA_ctrl M chr17:41256905-41256974	0	0	0
021_BRCA1_ex5_b_Nilmn_MixB_ctrl M chr17:41256858-41256936	1549	0	1549
022_BRCA1_ex6_a_Nilmn_MixA_ctrl M chr17:41256137-41256197	0	0	0
