gene	total	forward	reverse
001_CFTR_a_Nilmn_MixAMixB_ctrl M chr7:117307078-117307150	1029	0	1029
002_FLCN_1_Nilmn_MixAMixB_ctrl M chr17:17131259-17131319	262	0	262
003_GCH1_a_Nilmn_MixAMixB_ctrl M chr14:55332047-55332119	985	0	985
004_GPC3_1_Nilmn_MixAMixB_ctrl M chrX:132670260-132670326	811	0	811
005_IL1B_1_Nilmn_MixAMixB_ctrl M chr2:113590970-113591021	431	0	431
006_JAG1_a_Nilmn_MixAMixB_ctrl M chr20:10622384-10622447	529	0	529
007_OPTN_a_Nilmn_MixAMixB_ctrl M chr10:13142648-13142708	525	0	525
008_PANK2_1_Nilmn_MixAMixB_ctrl M chr20:3893229-3893286	716	0	716
009_BRCA1_up_a_Nilmn_MixB_ctrl M chr17:41277531-41277594	757	0	757
010_BRCA1_up_b_Nilmn_MixB_ctrl M chr17:41278182-41278242	636	0	636
011_BRCA1_ex1_a_Nilmn_MixA_ctrl M chr17:41277287-41277344	0	0	0
012_BRCA1_in1_a_Nilmn_MixA_ctrl M chr17:41277046-41277103	0	0	0
013_BRCA1_ex1_c_Nilmn_MixB_ctrl M chr17:41277397-41277459	1216	0	1216
014_BRCA1_ex2_a_Nilmn_MixA_ctrl M chr17:41276060-41276123	0	0	0
015_BRCA1_ex2_b_Nilmn_MixB_ctrl M chr17:41276019-41276094	1722	0	1722
016_BRCA1_ex3_a_Nilmn_MixA_ctrl M chr17:41267743-41267803	1234	1234	0
017_BRCA1_ex3_b_Nilmn_MixB_ctrl M chr17:41267716-41267791	1237	0	1237
018_BRCA1_ex4_a_Nilmn_MixA_ctrl M chr17:41258486-41258549	0	0	0
019_BRCA1_ex4_b_Nilmn_MixB_ctrl M chr17:41258432-41258517	1356	0	1356
020_BRCA1_ex5_a_Nilmn_MixA_ctrl M chr17:41256905-41256974	0	0	0
021_BRCA1_ex5_b_Nilmn_MixB_ctrl M chr17:41256858-41256936	1806	0	1806
022_BRCA1_ex6_a_Nilmn_MixA_ctrl M chr17:41256137-41256197	0	0	0
023_BRCA1_ex6_b_Nilmn_MixB_ctrl M chr17:41256178-41256250	1243	0	1243
024_BRCA1_ex7_a_Nilmn_MixA_ctrl M chr17:41251815-41251881	0	0	0
025_BRCA1_ex7_b_Nilmn_MixB_ctrl M chr17:41251863-41251941	1407	0	1407
026_BRCA1_ex8_a_Nilmn_MixA_ctrl M chr17:41249226-41249307	1491	1491	0
027_BRCA1_ex8_b_Nilmn_MixB_ctrl M chr17:41249219-41249294	1482	0	1482
